web-scraper-order;web-scraper-start-url;link;link-href;brand;product_name;category;price;rating;number_of_reviews;number_of_recommendations;repurchase_yes;repurchase_no;repurchase_maybe
1639403218-2099;https://www.sociolla.com/178-moisturizer?page=18;;https://www.sociolla.com/face-cream-lotion/11019-sekkisei-supreme-moisturizer-ii;KOSE;Sekkisei Supreme Moisturizer II;Sekkisei Supreme Moisturizer II;Rp889.000;04.06;-4;4;Yes (3);No (0);Maybe (1)
1639402669-2024;https://www.sociolla.com/178-moisturizer?page=23;;https://www.sociolla.com/face-cream-lotion/59364-pomegranate-day-cream;Breylee;Pomegranate Day Cream;Pomegranate Day Cream;Rp 459.000Rp 137.700;04.04;-15;9;Yes (10);No (1);Maybe (4)
1639401999-1935;https://www.sociolla.com/178-moisturizer?page=29;;https://www.sociolla.com/face-cream-lotion/56058-moisturetrip-omega-rich-moisturizer;Glamglow;Moisturetrip Omega Rich Moisturizer;Moisturetrip Omega Rich Moisturizer;Rp1.095.000;null;null;null;null;null;null
1639402872-2051;https://www.sociolla.com/178-moisturizer?page=21;;https://www.sociolla.com/face-mist/51905-water-bank-hydro-mist;Laneige;Water Bank Hydro Mist;Water Bank Hydro Mist;Rp 360.000Rp 288.750;04.05;-2;1;Yes (2);No (0);Maybe (0)
1639402115-1951;https://www.sociolla.com/178-moisturizer?page=28;;https://www.sociolla.com/face-cream-lotion/55648-jeju-orchid-eye-cream-30ml;Innisfree;Jeju Orchid Eye Cream;Jeju Orchid Eye Cream;Rp380.000;04.00;-13;5;Yes (6);No (4);Maybe (3)
1639404450-2278;https://www.sociolla.com/178-moisturizer?page=7;;https://www.sociolla.com/face-oil/8914-castor-oil;Utama Spice;Castor Oil;Castor Oil;Rp 43.000Rp 25.800;04.04;-84;76;Yes (49);No (11);Maybe (24)
1639401411-1855;https://www.sociolla.com/178-moisturizer?page=34;;https://www.sociolla.com/face-cream-lotion/27605-safe-me-relief-moisture-cream-12;Make P:rem;Safe me. Relief moisture cream 12;Safe me. Relief moisture cream 12;Rp 359.000Rp 305.150;04.06;-56;47;Yes (43);No (2);Maybe (11)
1639402046-1941;https://www.sociolla.com/178-moisturizer?page=29;;https://www.sociolla.com/face-cream-lotion/57898-age-defense-morning-cream;Raiku;AGE DEFENSE MORNING CREAM;AGE DEFENSE MORNING CREAM;Rp 128.000Rp 102.400;null;null;null;null;null;null
1639404928-2350;https://www.sociolla.com/178-moisturizer?page=2;;https://www.sociolla.com/face-cream-lotion/7924-moisturizing-lotion;Cetaphil;Moisturizing Lotion;Moisturizing Lotion;Rp 188.419Rp 122.472;04.03;-194;176;Yes (109);No (20);Maybe (65)
1639401273-1834;https://www.sociolla.com/178-moisturizer?page=36;;https://www.sociolla.com/face-cream-lotion/62110-sunshine-lotion;Haple;Sunshine Lotion;Sunshine Lotion;Rp 149.000Rp 138.570;null;null;null;null;null;null
1639403685-2165;https://www.sociolla.com/178-moisturizer?page=14;;https://www.sociolla.com/face-gel/50119-gel-lam-diu-da-nang-nha-dam-aloe-revital-soothing-gel;Innisfree;Aloe Revital Soothing Gel 300ml;Aloe Revital Soothing Gel 300ml;Rp100.000;04.07;-76;57;Yes (60);No (4);Maybe (12)
1639403859-2189;https://www.sociolla.com/178-moisturizer?page=12;;https://www.sociolla.com/face-gel/9542-tea-tree-shine-control-and-blemish-clear-night-gelly;Naruko;Tea Tree Shine Control & Blemish Clear Night Gelly;Tea Tree Shine Control & Blemish Clear Night Gelly;Rp 319.000Rp 271.150;04.04;-148;141;Yes (98);No (18);Maybe (32)
1639401231-1826;https://www.sociolla.com/178-moisturizer?page=37;;https://www.sociolla.com/face-cream-lotion/55004-lng-perfect-renew-youth-regenerating-cream-ol21;Laneige;LNG Perfect Renew Youth Regenerating Cream (OL21);LNG Perfect Renew Youth Regenerating Cream (OL21);Rp 1.467.000Rp 712.000;04.09;-2;1;Yes (2);No (0);Maybe (0)
1639402437-1995;https://www.sociolla.com/178-moisturizer?page=24;;https://www.sociolla.com/face-cream-lotion/60789-cica-res-q-cream;Omniskin;Cica Res-Q Cream;Cica Res-Q Cream;Rp89.000;05.00;-1;0;Yes (1);No (0);Maybe (0)
1639401687-1892;https://www.sociolla.com/178-moisturizer?page=32;;https://www.sociolla.com/face-cream-lotion/9897-temulawak-balancing-facial-emulsion;Skin Dewi;Temulawak Balancing Facial Emulsion;Temulawak Balancing Facial Emulsion;Rp1.012.000;04.06;-12;11;Yes (9);No (1);Maybe (2)
1639404306-2257;https://www.sociolla.com/178-moisturizer?page=8;;https://www.sociolla.com/face-mist/54871-la-rose-de-damas-face-mist;WESTCARE;La Rose De Damas Face Mist;La Rose De Damas Face Mist;Rp 150.000Rp 105.000;04.06;-9;9;Yes (5);No (0);Maybe (4)
1639404253-2249;https://www.sociolla.com/178-moisturizer?page=9;;https://www.sociolla.com/face-cream-lotion/13964-moisture-bomb-pudding-gel-creme;Joylab;Moisture Bomb Pudding Gel Creme;Moisture Bomb Pudding Gel Creme;Rp 145.000 - Rp 175.000Rp 111.650 - Rp 134.750;04.05;-378;334;Yes (226);No (47);Maybe (105)
1639403204-2097;https://www.sociolla.com/178-moisturizer?page=18;;https://www.sociolla.com/face-cream-lotion/49270-kem-duong-snail-truecica;Some By Mi;Snail Truecica Miracle Cream;Snail Truecica Miracle Cream;Rp470.000;04.06;-43;29;Yes (29);No (5);Maybe (9)
1639401893-1921;https://www.sociolla.com/178-moisturizer?page=30;;https://www.sociolla.com/face-gel/55553-bija-cica-gel-40ml;Innisfree;Bija Cica Gel;Bija Cica Gel;Rp330.000;04.03;-6;6;Yes (4);No (1);Maybe (1)
1639404271-2251;https://www.sociolla.com/178-moisturizer?page=8;;https://www.sociolla.com/face-cream-lotion/25445-sea-buckthorn-vital-70-cream;Purito;Sea Buckthorn Vital 70 Cream;Sea Buckthorn Vital 70 Cream;Rp 412.500Rp 268.125;04.09;-3;2;Yes (2);No (0);Maybe (1)
1639402344-1983;https://www.sociolla.com/178-moisturizer?page=25;;https://www.sociolla.com/face-gel/9481-acne-night-treatment-gel;Elsheskin;Acne Night Treatment Gel;Acne Night Treatment Gel;Rp 96.000Rp 94.080;04.03;-132;112;Yes (71);No (21);Maybe (40)
1639404339-2262;https://www.sociolla.com/178-moisturizer?page=8;;https://www.sociolla.com/face-cream-lotion/3372-lightening-day-cream-step-2;Wardah;Lightening Day Cream Advanced Niacinamide;Lightening Day Cream Advanced Niacinamide;Rp44.000;04.02;-396;307;Yes (190);No (106);Maybe (100)
