web-scraper-order;web-scraper-start-url;link;link-href;brand;product_name;category;price;rating;number_of_reviews;number_of_recommendations;repurchase_yes;repurchase_no;repurchase_maybe
1639393719-1036;https://www.sociolla.com/177-cleanser?page=13;;https://www.sociolla.com/face-wash/60932-facial-wash;Everwhite;Sanrio Facial Wash - My Melody;Sanrio Facial Wash - My Melody;Rp 63.800Rp 51.040;04.08;-9;3;Yes (9);No (0);Maybe (0)
1639393864-1060;https://www.sociolla.com/177-cleanser?page=12;;https://www.sociolla.com/face-wash/59245-mini-oil-control-cleanser;Biyu;Mini Oil Control Cleanser;Mini Oil Control Cleanser;Rp 29.000Rp 18.270;04.07;-46;35;Yes (37);No (2);Maybe (7)
1639394516-1163;https://www.sociolla.com/177-cleanser?page=5;;https://www.sociolla.com/cleansing-bar/54176-whitelab-acne-soap;Whitelab;Whitelab Acne Soap;Whitelab Acne Soap;Rp28.350;04.07;-196;163;Yes (137);No (11);Maybe (48)
1639391998-753;https://www.sociolla.com/177-cleanser?page=31;;https://www.sociolla.com/cleansing-wipes/9443-face-wipes;Rollover Reaction;Face Wipes;Face Wipes;Rp55.000;04.03;-71;59;Yes (32);No (15);Maybe (24)
1639394118-1100;https://www.sociolla.com/177-cleanser?page=9;;https://www.sociolla.com/face-wash/60001-facial-wash-gel-rose;Herborist;Facial Wash Gel Rose;Facial Wash Gel Rose;Rp 21.600Rp 12.960;05.00;-4;3;Yes (4);No (0);Maybe (0)
1639392563-847;https://www.sociolla.com/177-cleanser?page=25;;https://www.sociolla.com/cleansing-cream/53074-sekkisei-clear-wellness-milk-cleanser;KOSE;Sekkisei Clear Wellness Milk Cleanser;Sekkisei Clear Wellness Milk Cleanser;Rp359.000;04.08;-4;4;Yes (4);No (0);Maybe (0)
1639392847-893;https://www.sociolla.com/177-cleanser?page=22;;https://www.sociolla.com/face-wash/14557-clean-it-zero-foam-cleanser;banila co.;Clean It Zero Foam Cleanser;Clean It Zero Foam Cleanser;Rp210.000;04.06;-4;4;Yes (2);No (1);Maybe (1)
1639394545-1168;https://www.sociolla.com/177-cleanser?page=5;;https://www.sociolla.com/face-wash/24935-deep-clean-foaming-cleanser;Neutrogena;Deep Clean Foaming Cleanser;Deep Clean Foaming Cleanser;Rp 58.000 - Rp 89.000;04.06;-89;79;Yes (61);No (9);Maybe (19)
1639392579-850;https://www.sociolla.com/177-cleanser?page=25;;https://www.sociolla.com/face-wash/25086-endless-bright-foaming-cleanser;RIVERA;Endless Bright Foaming Cleanser;Endless Bright Foaming Cleanser;Rp98.000;04.03;-1;1;Yes (0);No (0);Maybe (1)
1639393753-1042;https://www.sociolla.com/177-cleanser?page=13;;https://www.sociolla.com/face-wash/24933-deep-clean-hydrating-foaming-cleanser;Neutrogena;Deep Clean Hydrating Foaming Cleanser;Deep Clean Hydrating Foaming Cleanser;Rp99.000;04.05;-60;50;Yes (40);No (8);Maybe (12)
1639393507-1002;https://www.sociolla.com/177-cleanser?page=15;;https://www.sociolla.com/face-wash/28629-blemish-care-tea-tree-face-cleanser;St. Ives;Blemish Care Tea Tree Face Cleanser;Blemish Care Tea Tree Face Cleanser;Rp 102.000Rp 82.620;04.06;-277;232;Yes (174);No (44);Maybe (59)
