web-scraper-order;web-scraper-start-url;link;link-href;brand;product_name;category;price;rating;number_of_reviews;number_of_recommendations;repurchase_yes;repurchase_no;repurchase_maybe
1639396811-1304;https://www.sociolla.com/2303-mask?page=33;;https://www.sociolla.com/sheet-mask/14797-my-orchard-squeeze-mask-coconut;Frudia;My Orchard Squeeze Mask Coconut;My Orchard Squeeze Mask Coconut;Rp22.000;04.00;-3;3;Yes (2);No (1);Maybe (0)
1639399457-1711;https://www.sociolla.com/2303-mask?page=8;;https://www.sociolla.com/sheet-mask/15688-7days-plus-mask-aloe;Ariul;7Days Plus Mask - Aloe;7Days Plus Mask - Aloe;Rp 34.900Rp 24.430;04.06;-78;73;Yes (66);No (4);Maybe (8)
1639396452-1248;https://www.sociolla.com/2303-mask?page=37;;https://www.sociolla.com/skincare/53948-my-skin-matte-face-mask-camellia-and-pomegranate;YOU Makeups;My Skin Matte Face Mask Camellia & Pomegranate;My Skin Matte Face Mask Camellia & Pomegranate;Rp 15.000Rp 12.750;04.04;-20;19;Yes (11);No (1);Maybe (8)
1639399382-1700;https://www.sociolla.com/2303-mask?page=9;;https://www.sociolla.com/wash-off-mask/28396-rice-mask;I'm From;Rice Mask;Rice Mask;Rp 350.000Rp 245.000;04.03;-33;29;Yes (17);No (4);Maybe (12)
1639399646-1741;https://www.sociolla.com/2303-mask?page=6;;https://www.sociolla.com/sheet-mask/57824-sheet-mask-vitamin-c-mencerahkan-kulit-wajah;Breylee;Sheet Mask Vitamin C - Mencerahkan Kulit Wajah;Sheet Mask Vitamin C - Mencerahkan Kulit Wajah;Rp 25.000Rp 7.500;04.05;-174;114;Yes (113);No (5);Maybe (56)
1639398553-1570;https://www.sociolla.com/2303-mask?page=17;;https://www.sociolla.com/sheet-mask/11608-peko-pure-essence-jelly-mask-sheet-;Holika Holika;Peko Pure Essence Jelly Mask Sheet;Peko Pure Essence Jelly Mask Sheet;Rp 32.000Rp 24.000;04.03;-50;42;Yes (17);No (10);Maybe (23)
1639397548-1417;https://www.sociolla.com/2303-mask?page=26;;https://www.sociolla.com/sheet-mask/51761-mediheal-n-m-f-pollution-defense-calming-mask;Mediheal;Mediheal N.M.F Pollution Defense Calming Mask;Mediheal N.M.F Pollution Defense Calming Mask;Rp 34.900Rp 29.665;04.07;-145;138;Yes (124);No (1);Maybe (20)
1639398860-1618;https://www.sociolla.com/2303-mask?page=14;;https://www.sociolla.com/wash-off-mask/61643-heartleaf-skin-purifying-gel-mask;Whitelab;Heartleaf Skin Purifying Gel Mask;Heartleaf Skin Purifying Gel Mask;Rp78.750;04.05;-2;2;Yes (2);No (0);Maybe (0)
1639399590-1731;https://www.sociolla.com/2303-mask?page=6;;https://www.sociolla.com/sheet-mask/52041-pure-fit-cica-calming-true-sheet-mask;COSRX;Pure Fit Cica Calming True Sheet Mask;Pure Fit Cica Calming True Sheet Mask;Rp 54.900Rp 43.920;04.05;-32;27;Yes (18);No (4);Maybe (10)
1639397913-1470;https://www.sociolla.com/2303-mask?page=23;;https://www.sociolla.com/sheet-mask/16484-whitening-facial-mask-anti-acne;Nuface;Whitening Facial Mask Anti Acne;Whitening Facial Mask Anti Acne;Rp 23.500Rp 13.160;04.00;-91;70;Yes (36);No (21);Maybe (34)
